pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
alpha_0373,Volume 2,15,,Godfather,Godfather,G,,,<a href='/digital-beehive/alpha4/alpha_0847/'>Security</a>|<a href='/digital-beehive/toc/toc2_211/'>1090 [Godfathers]</a>,,<a href='/digital-beehive/index2/index_1613/'>godfather</a>,#item-40c32196e,,Entry: Godfather|Topic: Godfather|Xref: Security|Xref: 1090 [Godfathers]|Index: godfather|#item-40c32196e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/341,1128,3066,351/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602708797,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/341,1128,600,180/250,/0/default.jpg",Godfather,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0374,Volume 2,15,,Gog & Magog,Gog & Magog,G,,,,,<a href='/digital-beehive/index2/index_1693/'>Gog & Magog</a>,#item-18dfc42f4,,Entry: Gog & Magog|Topic: Gog & Magog|Index: Gog & Magog|#item-18dfc42f4,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/337,1435,3081,191/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508856193525,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/337,1435,600,180/250,/0/default.jpg",Gog & Magog,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0375,Volume 2,15,,Goodness,Goodness,G,,,<a href='/digital-beehive/alpha1/alpha_0097/'>Bounty</a>,,<a href='/digital-beehive/index2/index_1591/'>goodness</a>,#item-f0c950d14,,Entry: Goodness|Topic: Goodness|Xref: Bounty|Index: goodness|#item-f0c950d14,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/339,1690,3049,464/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508856308567,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/339,1690,600,180/250,/0/default.jpg",Goodness,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0376,Volume 2,15,,Goose,Goose,G,,,4620 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1623/'>goose</a>,#item-f4a62f2a9,,Entry: Goose|Topic: Goose|Xref: 4620 [PAGE_MISSING]|Index: goose|#item-f4a62f2a9,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/347,2093,2987,367/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602860208,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/347,2093,600,180/250,/0/default.jpg",Goose,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0377,Volume 2,15,,Gospel,Gospel,G,,,<a href='/digital-beehive/alpha5/alpha_0952/'>New Testament</a>|<a href='/digital-beehive/num4/num_1288/'>967 [Gospel]</a>,,<a href='/digital-beehive/index2/index_1628/'>gospel</a>,#item-5cd91f76f,,Entry: Gospel|Topic: Gospel|Xref: New Testament|Xref: 967 [Gospel]|Index: gospel|#item-5cd91f76f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/336,2350,3105,653/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602913523,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/336,2350,600,180/250,/0/default.jpg",Gospel,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0378,Volume 2,15,,Gout,Gout,G,,,<a href='/digital-beehive/toc/toc2_242/'>1241 [Gout]</a>,,<a href='/digital-beehive/index2/index_1644/'>gout</a>,#item-d2563939d,,Entry: Gout|Topic: Gout|Xref: 1241 [Gout]|Index: gout|#item-d2563939d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/388,2913,3001,271/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564602950307,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/388,2913,600,180/250,/0/default.jpg",Gout,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0379,Volume 2,15,,Governmt,Governmt,G,,,<a href='/digital-beehive/alpha3/alpha_0567/'>Magistrate</a>|<a href='/digital-beehive/num4/num_1176/'>906 [Kingdom]</a>|<a href='/digital-beehive/alpha4/alpha_0737/'>Prince</a>|post titulos decem,,<a href='/digital-beehive/index2/index_1633/'>governmt</a>,#item-92ec48ca2,,Entry: Governmt|Topic: Governmt|Xref: Magistrate|Xref: 906 [Kingdom]|Xref: Prince|Xref: post titulos decem|Index: governmt|#item-92ec48ca2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/384,3106,3009,315/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603056493,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/384,3106,600,180/250,/0/default.jpg",Governmt,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,"The point of reference for ""Kingdom"" is unclear.|The point of reference for ""post titulos decem"" is unclear.",
alpha_0380,Volume 2,15,,Grace,Grace,G,,,<a href='/digital-beehive/alpha3/alpha_0590/'>Mercy</a>|<a href='/digital-beehive/toc/toc2_196/'>1014 [Grace]</a>,,<a href='/digital-beehive/index2/index_1600/'>Grace</a>,#item-d90660193,,Entry: Grace|Topic: Grace|Xref: Mercy|Xref: 1014 [Grace]|Index: Grace|#item-d90660193,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/412,3352,2978,425/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603185513,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/412,3352,600,180/250,/0/default.jpg",Grace,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0381,Volume 2,15,,Grace of God,Grace of God,G,,,<a href='/digital-beehive/num3/num_0882/'>646 [Grace of God]</a>,,<a href='/digital-beehive/index2/index_1652/'>Grace of God</a>,#item-f20619d2c,,Entry: Grace of God|Topic: Grace of God|Xref: 646 [Grace of God]|Index: Grace of God|#item-f20619d2c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/390,3712,3011,437/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603228332,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/390,3712,600,180/250,/0/default.jpg",Grace of God,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0382,Volume 2,15,,Gray Hairs,Gray Hairs,G,,,,,<a href='/digital-beehive/index2/index_1710/'>gray hairs</a>,#item-de238db6b,,Entry: Gray Hairs|Topic: Gray Hairs|Index: gray hairs|#item-de238db6b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/434,4083,2994,368/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603267920,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/434,4083,600,180/250,/0/default.jpg",Gray Hairs,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0383,Volume 2,15,,Grammar,Grammar,G,,,,,<a href='/digital-beehive/index2/index_1604/'>gram[m]ars</a>,#item-4d8eef3d5,,Entry: Grammar|Topic: Grammar|Index: gram[m]ars|#item-4d8eef3d5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/431,4433,2991,484/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603361832,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0482/431,4433,600,180/250,/0/default.jpg",Grammar,<a href='/digital-beehive/toc/toc2_005/'>Full Page</a>,,
alpha_0384,Volume 2,16,,Grandeur,Grandeur,G,,,<a href='/digital-beehive/alpha4/alpha_0735/'>Pride</a>|<a href='/digital-beehive/alpha2/alpha_0423/'>highness</a>|<a href='/digital-beehive/alpha3/alpha_0568/'>magnanimity</a>|<a href='/digital-beehive/num4/num_1131/'>883 [highness]</a>,,<a href='/digital-beehive/index2/index_1610/'>grandeur</a>,#item-d2c4ae635,,Entry: Grandeur|Topic: Grandeur|Xref: Pride|Xref: highness|Xref: magnanimity|Xref: 883 [highness]|Index: grandeur|#item-d2c4ae635,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/813,234,2958,507/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508857327200,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/813,234,600,180/250,/0/default.jpg",Grandeur,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0385,Volume 2,16,,Gratitude,Gratitude,G,,,<a href='/digital-beehive/alpha5/alpha_1014/'>Unthankfullness</a>|<a href='/digital-beehive/alpha5/alpha_0954/'>thanks</a>|<a href='/digital-beehive/toc/toc2_214/'>1104 [Benefits]</a>|<a href='/digital-beehive/toc/toc2_220/'>1132 [Gratitude]</a>,,<a href='/digital-beehive/index2/index_1688/'>gratitude</a>,#item-6091f25b6,,Entry: Gratitude|Topic: Gratitude|Xref: Unthankfullness|Xref: thanks|Xref: 1104 [Benefits]|Xref: 1132 [Gratitude]|Index: gratitude|#item-6091f25b6,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/778,545,2988,588/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603533581,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/778,545,600,180/250,/0/default.jpg",Gratitude,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0386,Volume 2,16,,Gravity,Gravity,G,,,<a href='/digital-beehive/toc/toc2_408/'>2349 [Gravity]</a>,,<a href='/digital-beehive/index2/index_1706/'>gravity</a>,#item-62b38a997,,Entry: Gravity|Topic: Gravity|Xref: 2349 [Gravity]|Index: gravity|#item-62b38a997,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/728,961,3059,273/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603582087,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/728,961,600,180/250,/0/default.jpg",Gravity,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0387,Volume 2,16,,Gratulation,Gratulation,G,,,<a href='/digital-beehive/toc/toc2_271/'>1386 [Gratulation]</a>,,<a href='/digital-beehive/index2/index_1694/'>gratulation</a>,#item-e07dea125,,Entry: Gratulation|Topic: Gratulation|Xref: 1386 [Gratulation]|Index: gratulation|#item-e07dea125,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/795,1084,2961,435/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603613503,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/795,1084,600,180/250,/0/default.jpg",Gratulation,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0388,Volume 2,16,,Grave,Grave,G,,,<a href='/digital-beehive/alpha1/alpha_0112/'>Burial</a>,,<a href='/digital-beehive/index2/index_1698/'>grave</a>,#item-e1efb75b2,,Entry: Grave|Topic: Grave|Xref: Burial|Index: grave|#item-e1efb75b2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/780,1353,2987,490/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603649359,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/780,1353,600,180/250,/0/default.jpg",Grave,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0389,Volume 2,16,,Greatness,Greatness,G,,,"361 [Giant]|<a href='/digital-beehive/num3/num_0860/'>635 [Great, rich & eminent Persons]</a>",,<a href='/digital-beehive/index2/index_1719/'>great</a>,#item-6c7cdca09,,"Entry: Greatness|Topic: Greatness|Xref: 361 [Giant]|Xref: 635 [Great, rich & eminent Persons]|Index: great|#item-6c7cdca09","https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/773,1684,2955,627/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603729285,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/773,1684,600,180/250,/0/default.jpg",Greatness,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0390,Volume 2,16,,Guardian,Guardian,G,,,<a href='/digital-beehive/toc/toc2_434/'>4833 [Executors]</a>|<a href='/digital-beehive/alpha4/alpha_0673/'>Orphan</a>|<a href='/digital-beehive/num4/num_1279/'>959 [Guardian]</a>,,<a href='/digital-beehive/index2/index_1763/'>guardian</a>,#item-681cd26c1,,Entry: Guardian|Topic: Guardian|Xref: 4833 [Executors]|Xref: Orphan|Xref: 959 [Guardian]|Index: guardian|#item-681cd26c1,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/815,2183,2876,495/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603778041,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/815,2183,600,180/250,/0/default.jpg",Guardian,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,"The point of reference for ""Executor"" is unclear.",
alpha_0391,Volume 2,16,,Governmt,Governmt,G,,,752 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1633/'>governmt</a>,#item-066ac94a1,,Entry: Governmt|Topic: Governmt|Xref: 752 [PAGE_MISSING]|Index: governmt|#item-066ac94a1,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/754,2520,2968,395/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564603998191,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/754,2520,600,180/250,/0/default.jpg",Governmt,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0392,Volume 2,16,,Gun,Gun,G,,,<a href='/digital-beehive/num2/num_0393/'>339 [Guns]</a>,,<a href='/digital-beehive/index2/index_1795/'>guns</a>,#item-50a2aefd5,,Entry: Gun|Topic: Gun|Xref: 339 [Guns]|Index: guns|#item-50a2aefd5,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/722,2816,3000,208/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508858085732,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/722,2816,600,180/250,/0/default.jpg",Gun,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0393,Volume 2,16,,Guilt,Guilt,G,,,<a href='/digital-beehive/alpha1/alpha_0197/'>Crime</a>|<a href='/digital-beehive/alpha2/alpha_0321/'>fault</a>|<a href='/digital-beehive/toc/toc2_318/'>1620 [Guilt]</a>|<a href='/digital-beehive/num2/num_0583/'>468 [Self-guilty]</a>,,<a href='/digital-beehive/index2/index_1785/'>guilt</a>,#item-0034a0ab2,,Entry: Guilt|Topic: Guilt|Xref: Crime|Xref: fault|Xref: 1620 [Guilt]|Xref: 468 [Self-guilty]|Index: guilt|#item-0034a0ab2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/780,2960,3013,231/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508858189643,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/780,2960,600,180/250,/0/default.jpg",Guilt,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0394,Volume 2,16,,Hair,Hair,H,,,<a href='/digital-beehive/alpha2/alpha_0382/'>gray hairs</a>|<a href='/digital-beehive/alpha4/alpha_0785/'>red haired</a>|<a href='/digital-beehive/toc/toc2_261/'>1337 [Hair and Perriwigs]</a>,,<a href='/digital-beehive/index2/index_1807/'>hair</a>,#item-40babfce6,,Entry: Hair|Topic: Hair|Xref: gray hairs|Xref: red haired|Xref: 1337 [Hair and Perriwigs]|Index: hair|#item-40babfce6,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/772,3094,2974,471/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604131078,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/772,3094,600,180/250,/0/default.jpg",Hair,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0395,Volume 2,16,,Hand,Hand,H,,,,,<a href='/digital-beehive/index2/index_1713/'>hand</a>,#item-7bd15b548,,Entry: Hand|Topic: Hand|Index: hand|#item-7bd15b548,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/805,3439,2907,421/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604225425,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/805,3439,600,180/250,/0/default.jpg",Hand,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0396,Volume 2,16,,Happiness,Happiness,H,,,<a href='/digital-beehive/alpha2/alpha_0346/'>Fortune</a>|<a href='/digital-beehive/num1/num_0105/'>102 [Success]</a>|<a href='/digital-beehive/num3/num_1051/'>716 [Unhappiness]</a>|<a href='/digital-beehive/toc/toc2_215/'>1106 [happy]</a>,,<a href='/digital-beehive/index2/index_1730/'>happiness</a>,#item-b5ca3c52d,,Entry: Happiness|Topic: Happiness|Xref: Fortune|Xref: 102 [Success]|Xref: 716 [Unhappiness]|Xref: 1106 [happy]|Index: happiness|#item-b5ca3c52d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/787,3805,2933,522/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604377281,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/787,3805,600,180/250,/0/default.jpg",Happiness,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0397,Volume 2,16,,Happiness of the Wicked,Happiness of the Wicked,H,,,<a href='/digital-beehive/num4/num_1224/'>923 [Blessings of God are upon the wicked]</a>,,<a href='/digital-beehive/index2/index_1733/'>happiness of the wicked</a>,#item-7b5ae19be,,Entry: Happiness of the Wicked|Topic: Happiness of the Wicked|Xref: 923 [Blessings of God are upon the wicked]|Index: happiness of the wicked|#item-7b5ae19be,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/789,4224,2919,442/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604483907,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/789,4224,600,180/250,/0/default.jpg",Happiness of the Wicked,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0398,Volume 2,16,,Hardning,Hardning,H,,,<a href='/digital-beehive/alpha4/alpha_0657/'>Obstinacy</a>|<a href='/digital-beehive/toc/toc2_412/'>2374 [Hardning]</a>,,<a href='/digital-beehive/index2/index_1745/'>hardning</a>,#item-b81c3e687,,Entry: Hardning|Topic: Hardning|Xref: Obstinacy|Xref: 2374 [Hardning]|Index: hardning|#item-b81c3e687,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/791,4564,2937,532/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508784631867,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0483/791,4564,600,180/250,/0/default.jpg",Hardning,<a href='/digital-beehive/toc/toc2_006/'>Full Page</a>,,
alpha_0399,Volume 2,17,,Hare,Hare,H,,,,,<a href='/digital-beehive/index2/index_1748/'>hare</a>,#item-01e3acb48,,Entry: Hare|Topic: Hare|Index: hare|#item-01e3acb48,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/330,213,3043,214/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604695406,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/330,213,600,180/250,/0/default.jpg",Hare,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0400,Volume 2,17,,Hart,Hart,H,,,<a href='/digital-beehive/alpha1/alpha_0219/'>Deer</a>,,<a href='/digital-beehive/index2/index_1767/'>hart</a>,#item-7736252de,,Entry: Hart|Topic: Hart|Xref: Deer|Index: hart|#item-7736252de,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/375,355,1487,136/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604734310,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/375,355,600,180/250,/0/default.jpg",Hart,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0401,Volume 2,17,,Harvest,Harvest,H,,,4616 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1772/'>harvest</a>,#item-6372e5640,,Entry: Harvest|Topic: Harvest|Xref: 4616 [PAGE_MISSING]|Index: harvest|#item-6372e5640,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/359,356,3060,363/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508784997324,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/359,356,600,180/250,/0/default.jpg",Harvest,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,"The point of reference for ""Ruin"" is unclear. Pastorius perhaps intends numerical entry 608 [Ruin].",
alpha_0402,Volume 2,17,,Haste,Haste,H,,,<a href='/digital-beehive/alpha5/alpha_0973/'>Too Soon</a>|<a href='/digital-beehive/alpha5/alpha_0967/'>too hasty</a>|<a href='/digital-beehive/alpha4/alpha_0899/'>Soon</a>|<a href='/digital-beehive/num1/num_0183/'>175 [Dispatch]</a>|<a href='/digital-beehive/num4/num_1136/'>886 [Haste]</a>,,<a href='/digital-beehive/index2/index_1776/'>haste</a>,#item-b472fa4fe,,Entry: Haste|Topic: Haste|Xref: Too Soon|Xref: too hasty|Xref: Soon|Xref: 175 [Dispatch]|Xref: 886 [Haste]|Index: haste|#item-b472fa4fe,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/383,646,3035,546/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564604987210,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/383,646,600,180/250,/0/default.jpg",Haste,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0403,Volume 2,17,,Hat,Hat,H,,,<a href='/digital-beehive/num1/num_0225/'>213 [Hat]</a>,,<a href='/digital-beehive/index2/index_1780/'>hat</a>,#item-155fba134,,Entry: Hat|Topic: Hat|Xref: 213 [Hat]|Index: hat|#item-155fba134,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/357,1086,3077,375/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564605059596,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/357,1086,600,180/250,/0/default.jpg",Hat,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0404,Volume 2,17,,Hatred,Hatred,H,,,<a href='/digital-beehive/alpha2/alpha_0287/'>enmity</a>|747 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1786/'>hatred</a>,#item-703cad630,,Entry: Hatred|Topic: Hatred|Xref: enmity|Xref: 747 [PAGE_MISSING]|Index: hatred|#item-703cad630,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/375,1372,3043,580/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564605161158,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/375,1372,600,180/250,/0/default.jpg",Hatred,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0405,Volume 2,17,,Head,Head,H,,,,,<a href='/digital-beehive/index2/index_1701/'>head</a>,#item-f59d01783,,Entry: Head|Topic: Head|Index: head|#item-f59d01783,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/394,1932,2998,430/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508785346188,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/394,1932,600,180/250,/0/default.jpg",Head,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
alpha_0406,Volume 2,17,,Health,Health,H,,,<a href='/digital-beehive/toc/toc2_295/'>1506 [Health]</a>,,<a href='/digital-beehive/index2/index_1707/'>health</a>,#item-f7f321a7a,,Entry: Health|Topic: Health|Xref: 1506 [Health]|Index: health|#item-f7f321a7a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/370,2316,3030,449/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1508805356855,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0484/370,2316,600,180/250,/0/default.jpg",Health,<a href='/digital-beehive/toc/toc2_007/'>Full Page</a>,,
